iterator,x,y,z
1.0,-0.8369777202606201,-1.0284669399261475,0.0
1.0,-0.832213819026947,-1.0323256254196167,0.0
1.0,-0.8211920261383057,-1.0283479690551758,0.0
1.0,-0.8164287805557251,-1.03213369846344,0.0
1.0,-0.8067141175270081,-1.0296000242233276,0.0
1.0,-0.8019452691078186,-1.0333187580108643,0.0
1.0,-0.7922836542129517,-1.0306727886199951,0.0
1.0,-0.782663881778717,-1.0279598236083984,0.0
1.0,-0.7779028415679932,-1.0315674543380737,0.0
1.0,-0.7683380842208862,-1.0287432670593262,0.0
1.0,-0.758816123008728,-1.025852918624878,0.0
1.0,-0.7540650963783264,-1.0293502807617188,0.0
1.0,-0.7457746267318726,-1.0279690027236938,0.0
1.0,-0.7410139441490173,-1.0314059257507324,0.0
1.0,-0.731599748134613,-1.0283023118972778,0.0
1.0,-0.726837694644928,-1.031673789024353,0.0
1.0,-0.7186272144317627,-1.0301024913787842,0.0
1.0,-0.7093101143836975,-1.0268316268920898,0.0
1.0,-0.704555094242096,-1.0301001071929932,0.0
1.0,-0.6952992081642151,-1.0267224311828613,0.0
1.0,-0.6905449032783508,-1.029926061630249,0.0
1.0,-0.682457447052002,-1.028108835220337,0.0
1.0,-0.6744017601013184,-1.0262389183044434,0.0
1.0,-0.6696498990058899,-1.029345989227295,0.0
1.0,-0.6616350412368774,-1.0273865461349487,0.0
1.0,-0.6568779945373535,-1.030434489250183,0.0
1.0,-0.6489050388336182,-1.0283862352371216,0.0
1.0,-0.6409651637077332,-1.0262863636016846,0.0
1.0,-0.6362134218215942,-1.0292388200759888,0.0
1.0,-0.6283168792724609,-1.0270510911941528,0.0
1.0,-0.6235617399215698,-1.0299450159072876,0.0
1.0,-0.6157095432281494,-1.0276700258255005,0.0
1.0,-0.607891857624054,-1.0253446102142334,0.0
1.0,-0.6031447649002075,-1.028144121170044,0.0
1.0,-0.5953727960586548,-1.0257325172424316,0.0
1.0,-0.5906240940093994,-1.02847421169281,0.0
1.0,-0.5828988552093506,-1.0259770154953003,0.0
1.0,-0.5761893391609192,-1.0251740217208862,0.0
1.0,-0.5714434385299683,-1.0278270244598389,0.0
1.0,-0.5637940168380737,-1.025200605392456,0.0
1.0,-0.5590481162071228,-1.0277962684631348,0.0
1.0,-0.5523952841758728,-1.0268473625183105,0.0
1.0,-0.5457631349563599,-1.0258588790893555,0.0
1.0,-0.5410143733024597,-1.0283712148666382,0.0
1.0,-0.5334851741790771,-1.025538682937622,0.0
1.0,-0.5287380218505859,-1.0279942750930786,0.0
1.0,-0.5221664309501648,-1.0268622636795044,0.0
1.0,-0.5147184729576111,-1.023904800415039,0.0
1.0,-0.5099790692329407,-1.0262736082077026,0.0
1.0,-0.5034652948379517,-1.0250300168991089,0.0
1.0,-0.49872082471847534,-1.0273468494415283,0.0
1.0,-0.49137043952941895,-1.024232029914856,0.0
1.0,-0.48662978410720825,-1.0264928340911865,0.0
1.0,-0.4801819324493408,-1.0251094102859497,0.0
1.0,-0.4729174077510834,-1.0218733549118042,0.0
1.0,-0.4681878387928009,-1.024048924446106,0.0
1.0,-0.4618018865585327,-1.022557020187378,0.0
1.0,-0.4570693075656891,-1.0246812105178833,0.0
1.0,-0.4515206515789032,-1.0249532461166382,0.0
1.0,-0.4451814889907837,-1.0233619213104248,0.0
1.0,-0.44044533371925354,-1.02540922164917,0.0
1.0,-0.43413808941841125,-1.023751974105835,0.0
1.0,-0.4294002652168274,-1.0257482528686523,0.0
1.0,-0.4231257736682892,-1.0240256786346436,0.0
1.0,-0.41687634587287903,-1.0222671031951904,0.0
1.0,-0.41214555501937866,-1.0241835117340088,0.0
1.0,-0.40592989325523376,-1.0223604440689087,0.0
1.0,-0.4011988043785095,-1.0242263078689575,0.0
1.0,-0.39501744508743286,-1.022339105606079,0.0
1.0,-0.3917109966278076,-1.0278922319412231,0.0
1.0,-0.3869544565677643,-1.02969229221344,0.0
1.0,-0.38288456201553345,-1.0333456993103027,0.0
1.0,-0.3781029284000397,-1.0351048707962036,0.0
1.0,-0.37128064036369324,-1.0311967134475708,0.0
1.0,-0.3651714622974396,-1.029132604598999,0.0
