iterator,x,y,z
1.0,-1.4061152935028076,-0.42864876985549927,0.0
1.0,-1.4060288667678833,-0.4357371926307678,0.0
1.0,-1.4039992094039917,-0.442233145236969,0.0
1.0,-1.4057492017745972,-0.44993895292282104,0.0
1.0,-1.407457947731018,-0.4576704204082489,0.0
1.0,-1.4053269624710083,-0.46417272090911865,0.0
1.0,-1.405061960220337,-0.4713011384010315,0.0
1.0,-1.4028680324554443,-0.47779223322868347,0.0
1.0,-1.4044243097305298,-0.485580176115036,0.0
1.0,-1.405938744544983,-0.4933927357196808,0.0
1.0,-1.4036425352096558,-0.499887615442276,0.0
1.0,-1.4050782918930054,-0.5077311992645264,0.0
1.0,-1.402715802192688,-0.5142219662666321,0.0
1.0,-1.404072642326355,-0.5220959186553955,0.0
1.0,-1.4053864479064941,-0.5299932956695557,0.0
1.0,-1.4029210805892944,-0.5364852547645569,0.0
1.0,-1.4022904634475708,-0.5436887145042419,0.0
1.0,-1.3997617959976196,-0.5501662492752075,0.0
1.0,-1.4009191989898682,-0.558112382888794,0.0
1.0,-1.398323893547058,-0.564583420753479,0.0
1.0,-1.3994007110595703,-0.5725570321083069,0.0
1.0,-1.4022812843322754,-0.5813185572624207,0.0
1.0,-1.39957857131958,-0.587795615196228,0.0
1.0,-1.400526762008667,-0.5958260297775269,0.0
1.0,-1.3977570533752441,-0.6022948026657104,0.0
1.0,-1.3986237049102783,-0.6103506088256836,0.0
1.0,-1.4012748003005981,-0.619235634803772,0.0
1.0,-1.3983968496322632,-0.6257076263427734,0.0
1.0,-1.4009544849395752,-0.6346421241760254,0.0
1.0,-1.3980052471160889,-0.6411124467849731,0.0
1.0,-1.3986544609069824,-0.6492533087730408,0.0
1.0,-1.3956377506256104,-0.6557128429412842,0.0
1.0,-1.3980097770690918,-0.6647348999977112,0.0
1.0,-1.400328278541565,-0.673792839050293,0.0
1.0,-1.3971980810165405,-0.6802598834037781,0.0
1.0,-1.397626280784607,-0.6884799599647522,0.0
1.0,-1.3944282531738281,-0.6949343085289001,0.0
1.0,-1.3983439207077026,-0.7049752473831177,0.0
1.0,-1.3950695991516113,-0.7114328145980835,0.0
1.0,-1.3970979452133179,-0.720625638961792,0.0
1.0,-1.3990709781646729,-0.7298523187637329,0.0
1.0,-1.395681619644165,-0.7363129258155823,0.0
1.0,-1.397556185722351,-0.7455819845199585,0.0
1.0,-1.3940942287445068,-0.7520354390144348,0.0
1.0,-1.3958698511123657,-0.7613458633422852,0.0
1.0,-1.3975889682769775,-0.7706886529922485,0.0
1.0,-1.3940107822418213,-0.7771419882774353,0.0
1.0,-1.3956300020217896,-0.7865244746208191,0.0
1.0,-1.3919787406921387,-0.7929686307907104,0.0
1.0,-1.393497347831726,-0.8023898005485535,0.0
1.0,-1.3966870307922363,-0.8128478527069092,0.0
1.0,-1.3929139375686646,-0.8192965984344482,0.0
1.0,-1.3942686319351196,-0.8287935853004456,0.0
1.0,-1.390421986579895,-0.8352309465408325,0.0
1.0,-1.3933842182159424,-0.8458016514778137,0.0
1.0,-1.3962782621383667,-0.8564174771308899,0.0
1.0,-1.3923038244247437,-0.8628638386726379,0.0
1.0,-1.3950800895690918,-0.8735374212265015,0.0
1.0,-1.391026496887207,-0.8799780607223511,0.0
1.0,-1.3919987678527832,-0.889630913734436,0.0
1.0,-1.3878707885742188,-0.89605712890625,0.0
1.0,-1.3920891284942627,-0.9079270958900452,0.0
